,open,close,high,low,volume,rangePips,candleColor,date,time,symbol,timeFrame
1770,1.24774,1.23803,1.25333,1.23648,239752.3438,168,r,2014-11-06,00:00:00,EURUSD,1D
1771,1.238,1.24522,1.24694,1.2358,221870.9844,111,g,2014-11-07,00:00:00,EURUSD,1D
1772,1.24522,1.24522,1.24522,1.24522,0.0,0,e,2014-11-08,00:00:00,EURUSD,1D
1773,1.24722,1.246,1.24801,1.24598,8829.5498,20,r,2014-11-09,00:00:00,EURUSD,1D
1774,1.24599,1.24259,1.25091,1.24181,176970.625,90,r,2014-11-10,00:00:00,EURUSD,1D
1775,1.24257,1.24756,1.24991,1.23943,187057.5313,104,g,2014-11-11,00:00:00,EURUSD,1D
1776,1.24756,1.24298,1.24978,1.24194,219437.9375,78,r,2014-11-12,00:00:00,EURUSD,1D
1777,1.24298,1.24735,1.24915,1.24279,170570.0781,63,g,2014-11-13,00:00:00,EURUSD,1D
1778,1.24736,1.25234,1.25463,1.23985,201690.2344,147,g,2014-11-14,00:00:00,EURUSD,1D
1779,1.25234,1.25234,1.25234,1.25234,0.0,0,e,2014-11-15,00:00:00,EURUSD,1D
1780,1.25301,1.25211,1.25321,1.25139,9030.21,18,r,2014-11-16,00:00:00,EURUSD,1D
1781,1.25211,1.245,1.25774,1.24435,186573.3906,133,r,2014-11-17,00:00:00,EURUSD,1D
1782,1.245,1.25322,1.2545,1.24491,177316.6094,95,g,2014-11-18,00:00:00,EURUSD,1D
1783,1.25322,1.25405,1.25985,1.25123,242193.6563,86,g,2014-11-19,00:00:00,EURUSD,1D
1784,1.25404,1.25431,1.25752,1.25042,215089.0781,70,g,2014-11-20,00:00:00,EURUSD,1D
1785,1.2543,1.23871,1.25682,1.2375,199164.625,193,r,2014-11-21,00:00:00,EURUSD,1D
1786,1.23871,1.23871,1.23871,1.23871,0.0,0,e,2014-11-22,00:00:00,EURUSD,1D
1787,1.23627,1.23715,1.23753,1.23622,8310.46,13,g,2014-11-23,00:00:00,EURUSD,1D
1788,1.23716,1.24338,1.24446,1.23716,157714.0781,72,g,2014-11-24,00:00:00,EURUSD,1D
1789,1.24339,1.24795,1.24869,1.24018,162135.5625,85,g,2014-11-25,00:00:00,EURUSD,1D
1790,1.24795,1.25042,1.25312,1.24437,147442.4375,87,g,2014-11-26,00:00:00,EURUSD,1D
1791,1.25042,1.24595,1.25235,1.24558,96670.0,67,r,2014-11-27,00:00:00,EURUSD,1D
1792,1.24596,1.24497,1.24902,1.24263,131480.2969,63,r,2014-11-28,00:00:00,EURUSD,1D
1793,1.24497,1.24497,1.24497,1.24497,0.0,0,e,2014-11-29,00:00:00,EURUSD,1D
1794,1.24631,1.24366,1.24641,1.24317,8176.0698,32,r,2014-11-30,00:00:00,EURUSD,1D
1795,1.24368,1.24699,1.25067,1.24194,183811.9531,87,g,2014-12-01,00:00:00,EURUSD,1D
1796,1.24699,1.23876,1.24762,1.23769,156432.125,99,r,2014-12-02,00:00:00,EURUSD,1D
1797,1.23876,1.2314,1.23905,1.23012,172428.5,89,r,2014-12-03,00:00:00,EURUSD,1D
1798,1.2314,1.23857,1.24563,1.22795,206547.2344,176,g,2014-12-04,00:00:00,EURUSD,1D
1799,1.23855,1.2281,1.23931,1.22709,155977.7969,122,r,2014-12-05,00:00:00,EURUSD,1D
1800,1.2281,1.2281,1.2281,1.2281,0.0,0,e,2014-12-06,00:00:00,EURUSD,1D
1801,1.22864,1.22938,1.23027,1.22804,5605.2598,22,g,2014-12-07,00:00:00,EURUSD,1D
1802,1.22935,1.23147,1.23439,1.22472,155386.125,96,g,2014-12-08,00:00:00,EURUSD,1D
1803,1.23147,1.2388,1.24475,1.2292,199364.8281,155,g,2014-12-09,00:00:00,EURUSD,1D
1804,1.2388,1.24804,1.24866,1.23622,180699.6719,124,g,2014-12-10,00:00:00,EURUSD,1D
1805,1.24803,1.23931,1.24951,1.23702,203079.0469,124,r,2014-12-11,00:00:00,EURUSD,1D
1806,1.23931,1.24597,1.24851,1.23843,171665.0469,100,g,2014-12-12,00:00:00,EURUSD,1D
1807,1.24597,1.24597,1.24597,1.24597,0.0,0,e,2014-12-13,00:00:00,EURUSD,1D
1808,1.2474,1.24638,1.24777,1.24562,10271.2803,21,r,2014-12-14,00:00:00,EURUSD,1D
1809,1.24638,1.24402,1.24786,1.24146,179326.7344,63,r,2014-12-15,00:00:00,EURUSD,1D
1810,1.24401,1.25106,1.25699,1.24355,214930.3594,134,g,2014-12-16,00:00:00,EURUSD,1D
1811,1.25106,1.23368,1.25159,1.23209,201911.8438,195,r,2014-12-17,00:00:00,EURUSD,1D
1812,1.23367,1.22883,1.23524,1.22657,178869.4375,86,r,2014-12-18,00:00:00,EURUSD,1D
1813,1.22883,1.22265,1.23022,1.22201,139780.5156,82,r,2014-12-19,00:00:00,EURUSD,1D
1814,1.22265,1.22265,1.22265,1.22265,0.0,0,e,2014-12-20,00:00:00,EURUSD,1D
1815,1.22229,1.22245,1.22264,1.22198,3196.8799,6,g,2014-12-21,00:00:00,EURUSD,1D
1816,1.22245,1.2223,1.22725,1.22166,108293.0703,55,r,2014-12-22,00:00:00,EURUSD,1D
1817,1.22231,1.21752,1.22456,1.21646,102312.2891,80,r,2014-12-23,00:00:00,EURUSD,1D
1818,1.21752,1.21911,1.22201,1.21695,60177.8281,50,g,2014-12-24,00:00:00,EURUSD,1D
1819,1.21917,1.22079,1.22283,1.21869,8123.2402,41,g,2014-12-25,00:00:00,EURUSD,1D
1820,1.22075,1.21762,1.22218,1.21686,46510.9219,53,r,2014-12-26,00:00:00,EURUSD,1D
1821,1.21762,1.21762,1.21762,1.21762,0.0,0,e,2014-12-27,00:00:00,EURUSD,1D
1822,1.21792,1.21682,1.21804,1.21672,5834.0601,13,r,2014-12-28,00:00:00,EURUSD,1D
1823,1.21682,1.21533,1.2221,1.21429,95526.3984,78,r,2014-12-29,00:00:00,EURUSD,1D
1824,1.21535,1.21613,1.21873,1.21239,106527.1016,63,g,2014-12-30,00:00:00,EURUSD,1D
1825,1.21613,1.20976,1.21697,1.20968,73325.1016,72,r,2014-12-31,00:00:00,EURUSD,1D
1826,1.21038,1.20869,1.21073,1.20783,5732.3901,29,r,2015-01-01,00:00:00,EURUSD,1D
1827,1.20871,1.20017,1.2089,1.20004,119384.4609,88,r,2015-01-02,00:00:00,EURUSD,1D
1828,1.20017,1.20017,1.20017,1.20017,0.0,0,e,2015-01-03,00:00:00,EURUSD,1D
1829,1.19495,1.19469,1.19537,1.18677,13740.6396,85,r,2015-01-04,00:00:00,EURUSD,1D
1830,1.19469,1.19374,1.19762,1.18872,159296.5625,88,r,2015-01-05,00:00:00,EURUSD,1D
1831,1.19374,1.18722,1.19687,1.18461,177669.7969,122,r,2015-01-06,00:00:00,EURUSD,1D
1832,1.18722,1.18337,1.18966,1.18022,181679.8281,94,r,2015-01-07,00:00:00,EURUSD,1D
1833,1.18337,1.1792,1.18475,1.17543,150219.7969,93,r,2015-01-08,00:00:00,EURUSD,1D
1834,1.1792,1.18406,1.1846,1.17629,167943.6563,83,g,2015-01-09,00:00:00,EURUSD,1D
1835,1.18406,1.18406,1.18406,1.18406,0.0,0,e,2015-01-10,00:00:00,EURUSD,1D
1836,1.18452,1.18697,1.18699,1.1845,4748.77,24,g,2015-01-11,00:00:00,EURUSD,1D
1837,1.18697,1.18318,1.18708,1.17861,163540.0938,84,r,2015-01-12,00:00:00,EURUSD,1D
1838,1.18319,1.1777,1.18596,1.17531,190749.3906,106,r,2015-01-13,00:00:00,EURUSD,1D
1839,1.17771,1.1784,1.18464,1.17273,214321.4219,119,g,2015-01-14,00:00:00,EURUSD,1D
1840,1.1784,1.1636,1.17903,1.15675,286756.3438,222,r,2015-01-15,00:00:00,EURUSD,1D
1841,1.16361,1.15626,1.16487,1.146,243185.7344,188,r,2015-01-16,00:00:00,EURUSD,1D
1842,1.15626,1.15626,1.15626,1.15626,0.0,0,e,2015-01-17,00:00:00,EURUSD,1D
1843,1.15515,1.15612,1.15735,1.15515,4557.4199,22,g,2015-01-18,00:00:00,EURUSD,1D
1844,1.15614,1.15947,1.16388,1.15514,140976.8906,87,g,2015-01-19,00:00:00,EURUSD,1D
1845,1.15946,1.15454,1.1615,1.15405,152910.875,74,r,2015-01-20,00:00:00,EURUSD,1D
1846,1.15454,1.16147,1.16799,1.15412,177131.7813,138,g,2015-01-21,00:00:00,EURUSD,1D
1847,1.16146,1.13467,1.16505,1.1316,208738.8281,334,r,2015-01-22,00:00:00,EURUSD,1D
1848,1.13468,1.1202,1.1374,1.11146,228253.3906,259,r,2015-01-23,00:00:00,EURUSD,1D
1849,1.1202,1.1202,1.1202,1.1202,0.0,0,e,2015-01-24,00:00:00,EURUSD,1D
1850,1.11521,1.11417,1.11562,1.10979,12903.0596,58,r,2015-01-25,00:00:00,EURUSD,1D
1851,1.11417,1.12496,1.12954,1.11381,177766.5625,157,g,2015-01-26,00:00:00,EURUSD,1D
1852,1.12496,1.13678,1.14225,1.12237,179735.7656,198,g,2015-01-27,00:00:00,EURUSD,1D
1853,1.13678,1.1283,1.13821,1.12725,175837.875,109,r,2015-01-28,00:00:00,EURUSD,1D
1854,1.12829,1.13337,1.13678,1.12619,170749.1875,105,g,2015-01-29,00:00:00,EURUSD,1D
1855,1.13338,1.1285,1.13635,1.12783,170262.0938,85,r,2015-01-30,00:00:00,EURUSD,1D
1856,1.1285,1.1285,1.1285,1.1285,0.0,0,e,2015-01-31,00:00:00,EURUSD,1D
1857,1.13112,1.1307,1.13192,1.13005,5791.9702,18,r,2015-02-01,00:00:00,EURUSD,1D
1858,1.1307,1.13387,1.13621,1.12922,149828.0625,69,g,2015-02-02,00:00:00,EURUSD,1D
1859,1.13386,1.14565,1.15338,1.13124,192626.6875,221,g,2015-02-03,00:00:00,EURUSD,1D
1860,1.14564,1.13165,1.14848,1.13039,170795.25,180,r,2015-02-04,00:00:00,EURUSD,1D
1861,1.13165,1.14705,1.14988,1.13159,159348.8125,182,g,2015-02-05,00:00:00,EURUSD,1D
1862,1.14705,1.13128,1.14735,1.13119,140728.5938,161,r,2015-02-06,00:00:00,EURUSD,1D
